suite,experiment_id,scenario_id,backend,label,success_rate,collision_rate,control_failure_rate,min_clearance_mean,path_length_mean,completion_time_mean,mean_solve_time_ms,p95_solve_time_ms,solver_failure_rate,infeasible_rate,fallback_rate,collision_after_fallback_rate,summary_path
extended/backend_comparison/casadi,E6,point_mass_2d_dynamic_obstacle_v1,casadi,Fixed CBF gamma=0.15,1.0,0.0,0.0,0.2642468546960151,5.011865437273098,4.0,5.801675403490663,7.534533136786193,0.0,0.0,0.0,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,E6,point_mass_2d_dynamic_obstacle_v1,casadi,Fixed CBF gamma=0.08,1.0,0.0,0.0,0.6277667245343634,5.317329229917361,4.155,5.631704588014587,7.245805745042162,0.0,0.0,0.0,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,E6,point_mass_2d_dynamic_obstacle_v1,casadi,Fixed CBF gamma=0.04,1.0,0.0,0.0,1.0844539909355695,5.905990493826202,4.529999999999999,5.593589193825361,7.295045726350509,0.0,0.0,0.0,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/casadi,E6,point_mass_2d_dynamic_obstacle_v1,casadi,Rule adaptive CBF,1.0,0.0,0.0,0.47538865191230817,5.218903689092324,4.16,8.542096227981485,19.17195000962238,0.25839140534262484,0.255952380952381,0.2583914053426249,0.0,results/extended/backend_comparison/casadi/summary.json
extended/backend_comparison/random_shooting,E6,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.15,0.85,0.0,0.15,0.5025598885776995,5.5456971715134005,5.525,1.8242800388745664,1.8501375034975354,0.0,0.021023540649178767,0.0,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,E6,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.08,0.85,0.0,0.15,0.8383147310336303,5.9500690166797146,5.915,1.8265841055083338,1.8478313741798047,0.0,0.033213891575065414,0.0,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,E6,point_mass_2d_dynamic_obstacle_v1,random_shooting,Fixed CBF gamma=0.04,0.9,0.0,0.1,1.057893448602365,6.439048765470884,6.734999999999999,1.813625755337247,1.8446320116345305,0.0,0.3070742229890481,0.0,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/backend_comparison/random_shooting,E6,point_mass_2d_dynamic_obstacle_v1,random_shooting,Rule adaptive CBF,0.85,0.0,0.15,0.8674001522787783,5.927797933616006,6.135,1.8303233682056987,1.8650413662544452,0.0,0.04168496391248515,0.0,0.0,results/extended/backend_comparison/random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,E6,aggressive_crossing_v1,random_shooting,Fixed CBF gamma=0.15,1.0,0.0,0.0,0.30866202688421457,5.466961848798771,4.368,1.32639953990305,1.3554662423557602,0.0,0.0707709391523419,0.0,0.0,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,E6,aggressive_crossing_v1,random_shooting,Fixed CBF gamma=0.08,1.0,0.0,0.0,0.41645124937155303,5.7465241610238635,4.556,1.3242538091625706,1.3397092135855928,0.0,0.4083313789345134,0.0,0.0,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,E6,aggressive_crossing_v1,random_shooting,Fixed CBF gamma=0.04,1.0,0.0,0.0,0.4826045336578682,5.803080876896661,4.6080000000000005,1.3239594780779047,1.3391824408317916,0.0,0.4899093227899913,0.0,0.0,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/aggressive_crossing_v1_random_shooting,E6,aggressive_crossing_v1,random_shooting,Rule adaptive CBF,1.0,0.0,0.0,0.4752197262365883,5.815375799518966,4.606000000000001,1.3280813708852492,1.3510134918615222,0.0,0.4347842375675539,0.0,0.0,results/extended/scenarios/aggressive_crossing_v1_random_shooting/summary.json
extended/scenarios/fast_crossing_v1_random_shooting,E6,fast_crossing_v1,random_shooting,Fixed CBF gamma=0.15,1.0,0.0,0.0,0.2655237940224148,5.634134836857361,4.4780000000000015,1.316443669276347,1.3420601484831423,0.0,0.22382610561926491,0.0,0.0,results/extended/scenarios/fast_crossing_v1_random_shooting/summary.json
